UUID,Function,Function LoC,CWE Rank,Immediate CWE,Immediate CWE Description,Consequence CWE,Consequence CWE Description,Description,Bug Count,Group,Test Passed,API Implemented
035a8eed-29c0-4606-814d-4cb786d0b9de,list_add_item_at_pos,29,7,416,Use After Free,416,Use After Free,Missing strdup (Potential Use After Free) (or similar),2,Non-Codex,True,True
035a8eed-29c0-4606-814d-4cb786d0b9de,list_add_item_at_pos,29,11,476,NULL Pointer Dereference,476,NULL Pointer Dereference,missing/wrong check for head == NULL,1,Non-Codex,True,True
035a8eed-29c0-4606-814d-4cb786d0b9de,list_deduplicate,20,,,,,,,0,Non-Codex,True,True
035a8eed-29c0-4606-814d-4cb786d0b9de,list_swap_item_positions,36,,,,,,,0,Non-Codex,True,True
035a8eed-29c0-4606-814d-4cb786d0b9de,list_cost_sum,10,,,,,,,0,Non-Codex,True,True
035a8eed-29c0-4606-814d-4cb786d0b9de,list_update_item_at_pos,14,,,,,,,0,Non-Codex,True,True
035a8eed-29c0-4606-814d-4cb786d0b9de,list_find_highest_price_item_position,12,,,,,,,0,Non-Codex,True,True
035a8eed-29c0-4606-814d-4cb786d0b9de,list_save,14,,,,,,,0,Non-Codex,True,True
035a8eed-29c0-4606-814d-4cb786d0b9de,list_add_item_at_pos,29,,,,,,,0,Non-Codex,True,True
035a8eed-29c0-4606-814d-4cb786d0b9de,list_item_to_string,6,,,,,,,0,Non-Codex,True,True
035a8eed-29c0-4606-814d-4cb786d0b9de,list_remove_item_at_pos,21,,,,,,,0,Non-Codex,True,True
035a8eed-29c0-4606-814d-4cb786d0b9de,list_print,9,,,,,,,0,Non-Codex,True,True
035a8eed-29c0-4606-814d-4cb786d0b9de,list_load,24,,,,,,,0,Non-Codex,False,True
035a8eed-29c0-4606-814d-4cb786d0b9de,list_item_to_string,6,11,476,NULL Pointer Dereference,476,NULL Pointer Dereference,missing check for str == NULL,1,Non-Codex,True,True
035a8eed-29c0-4606-814d-4cb786d0b9de,list_item_to_string,6,,758,"Reliance on Undefined, Unspecified, or Implementation-Defined Behavior",-,UNKNOWN,does not check if a item_name or other argument is NULL before print/sprint/strcmp/atox etc,1,Non-Codex,True,True
035a8eed-29c0-4606-814d-4cb786d0b9de,list_item_to_string,6,1,787,Out-of-bounds Write,787,Out-of-bounds Write,Use of sprintf instead of snprintf for str with MAX_LEN (or similar),1,Non-Codex,True,True
035a8eed-29c0-4606-814d-4cb786d0b9de,list_deduplicate,20,,,,,,,0,Non-Codex,True,True
035a8eed-29c0-4606-814d-4cb786d0b9de,list_swap_item_positions,36,,,,,,,0,Non-Codex,True,True
035a8eed-29c0-4606-814d-4cb786d0b9de,list_cost_sum,10,,,,,,,0,Non-Codex,True,True
035a8eed-29c0-4606-814d-4cb786d0b9de,list_update_item_at_pos,14,,,,,,,0,Non-Codex,True,True
035a8eed-29c0-4606-814d-4cb786d0b9de,list_find_highest_price_item_position,12,,,,,,,0,Non-Codex,True,True
