AUDIT ID,Study,Used in study,UG_PG,duration
035a8eed-29c0-4606-814d-4cb786d0b9de,Deactive,TRUE,UG,"1 day, 2:43:28.449000"
0640be89-ee5f-4846-8e14-40fdc574d7d3,Active,TRUE,UG,"7 days, 10:23:17.379000"
0ed7147a-475a-438b-8eee-c19d9d380739,Active,TRUE,UG,"2 days, 20:33:42.676000"
18ced82d-deec-4f66-9270-7770063fdf26,Active,TRUE,UG,"0 days, 0:17:41"
1f1c4c51-758b-4b08-88e3-e919cb5eaeaf,Active,TRUE,UG,"0 days, 6:48:58"
1f53c71a-e1b9-4b65-a11e-c15f3c38a6cf,Deactive,TRUE,UG,"0 days, 0:00:00"
212591de-3007-4e4d-a0df-67d22d6c5f91,Deactive,TRUE,UG,"16 days, 0:15:42.063000"
21cb2508-2c4a-468d-a771-002ba7e0f211,Active,TRUE,PG,"0 days, 0:49:16"
26a41023-c10e-41cc-b9e1-8103dc46f264,Active,TRUE,UG,"0 days, 2:06:12"
275f0df3-1f22-43e1-b37c-147169908268,Deactive,TRUE,PG,"0 days, 1:27:42"
32999001-1b8b-40d0-8776-0dc7fbd264ac,Deactive,TRUE,PG,"0 days, 6:56:21"
3533dacf-349b-4581-bc32-6b9f015199c1,Active,TRUE,UG,"2 days, 2:19:00.841000"
36deba30-9345-480d-8221-387f5192f83d,Active,TRUE,PG,"3 days, 3:14:33.972000"
394b3e22-bd6f-4c90-9300-5826a9d033ad,Deactive,TRUE,PG,"1 day, 6:31:54.673000"
3cff10bf-23d9-48f4-9f45-96a223a8e2de,Active,TRUE,PG,"0 days, 0:04:39"
40a638f7-3fe3-43b0-b6cd-c47427778724,Deactive,TRUE,PG,"8 days, 7:46:39.321000"
4992045a-4e79-4768-a0e8-8a8219c7b8d5,Deactive,TRUE,UG,"11 days, 18:00:09.298000"
514e6c1d-f935-474d-899e-96e27d5babd3,Active,TRUE,UG,"20 days, 1:40:17.672000"
549eca81-c8f8-4237-9237-220ab72ac8cf,Deactive,TRUE,UG,"10 days, 2:03:45.110000"
599ce961-34d5-427d-83bd-8ca692a7e766,Deactive,TRUE,UG,"0 days, 1:48:01"
5a790fe9-4950-4f24-903a-a7440f7f826f,Active,TRUE,PG,"0 days, 269:36:49"
632e58e4-4e9b-4311-a12a-13fbc92ad3a3,Deactive,TRUE,UG,"1 day, 2:55:43.248000"
7193a853-f8dd-423a-90be-39d0023d598e,Active,TRUE,UG,"0 days, 5:39:49"
74a8a6f6-fdda-4725-b99d-e6089cf74b51,Deactive,TRUE,PG,"3 days, 6:44:55.398000"
74bd8618-cc17-42a6-8657-abebc4b6b500,Active,TRUE,UG,"0 days, 0:52:08"
752045ea-d911-4015-a0e5-66f513cb8751,Deactive,TRUE,UG,"0 days, 1:06:36"
833d22d1-766e-4e96-af92-180a3c4a2d99,Deactive,TRUE,UG,"2 days, 2:07:31.866000"
925cb076-503f-4a8e-b8d9-0aac9efe5955,Active,TRUE,PG,"0 days, 12:12:45"
949d88c5-3896-4e45-a42e-8bff4c950949,Deactive,TRUE,PG,"0 days, 6:54:45"
94cc70d0-7086-4a40-894a-433c90f7d9c4,Deactive,TRUE,UG,"1 day, 23:30:54.549000"
9702f54c-200b-41f5-9fc4-971af3d86785,Deactive,TRUE,UG,"0 days, 244:48:23"
a2ab1ed3-1881-42af-b18d-1197d0ea95ae,Deactive,TRUE,UNKNOWN,"12 days, 5:57:46.424000"
a391803d-b2e8-47cd-8319-305aae3983bc,Deactive,TRUE,UG,"11 days, 11:42:35.554000"
a3edd088-a9ab-4b80-ae98-01ffcfca615b,Active,TRUE,UNKNOWN,"8 days, 14:12:27.381000"
a4b3a969-44a1-4cea-87f5-86393eb85908,Active,TRUE,PG,"6 days, 8:26:17.342000"
a5ba06a2-cd4d-4aed-92ac-eeee80fe3e73,Active,TRUE,UG,"1 day, 19:47:15.801000"
a80d5d0f-724e-4a28-8af1-02ca84993567,Active,TRUE,PG,"0 days, 22:30:21"
a974cab3-f095-4360-969e-9942edfdedc1,Active,TRUE,PG,"0 days, 7:03:16"
b0ce9d89-f33e-4770-abfb-11e9830da4c4,Deactive,TRUE,UG,"22 days, 19:09:30.301000"
b59feaf2-4c48-4ec0-8d00-3428362914a7,Active,TRUE,UG,0:31:28
bbea417b-a3f1-451b-a25d-d9dfb2c8aed2,Deactive,TRUE,UG,1:14:59
be6fa0a5-e7ff-4ae0-b846-57d9385acd84,Active,TRUE,PG,"2 days, 0:22:10.548000"
c23b2615-700f-48f2-b33d-3433d1c25bb6,Active,TRUE,PG,"2 days, 3:53:52.848000"
c8a48b56-ce2e-4d25-8dd8-a23b5e6549b5,Deactive,TRUE,PG,"1 day, 21:50:27.965000"
caa12fcb-10a7-4f65-997b-0e1b1ba2c96d,Deactive,TRUE,UG,2:20:54
dac37585-9926-4e20-8ac1-40addd42f1a8,Active,TRUE,UG,1:40:35
dc47e379-a3ba-464c-aa89-69374080111a,Active,TRUE,UG,"1 day, 0:56:02.921000"
ddac8637-a99c-458d-bff5-916acb92e259,Active,TRUE,UG,"1 day, 16:02:47.129000"
e04ce3f6-46eb-465e-9828-5e768febf9be,Active,TRUE,UG,"4 days, 22:59:29.523000"
e5d2269a-cb40-4643-8134-13bc23ce41a7,Deactive,TRUE,PG,"16 days, 21:41:04.613000"
e603de64-bbb4-43fd-9506-ec25df81b660,Deactive,TRUE,PG,0:25:22
e71766a5-b1da-462f-8ea5-a7e12f82f58e,Deactive,TRUE,PG,"1 day, 17:53:35.382000"
ec83a892-5cfa-46bf-aab8-673aee747cb8,Active,TRUE,PG,21:50:36
f0e25db0-7a42-4c33-a22c-17b79e580330,Deactive,TRUE,PG,0:38:27
f928b19b-6a98-4ed9-9c09-bfdf78073fd2,Deactive,TRUE,PG,6:29:02
fbf1986f-db73-4988-af05-0d3cb48dd0c9,Deactive,TRUE,UG,3:13:10
fd621e01-4962-4699-b49a-012c08563cb5,Active,TRUE,UG,0:57:46
ff36e2ef-af58-426f-97ae-dc8ba80ff4a0,Active,TRUE,UG,"2 days, 3:13:19.104000"
